QSR, STOCK
LYFT, STOCK
CQP, STOCK
MKTX, STOCK
COO, STOCK
RF, STOCK
XYL, STOCK
MTB, STOCK
CZR, STOCK
KEY, STOCK
EXR, STOCK
WPM, STOCK
SKM, STOCK
STX, STOCK
HOLX, STOCK
COUP, STOCK
ESS, STOCK
LOGI, STOCK
INVH, STOCK
ZI, STOCK
AES, STOCK
CTLT, STOCK
BIO, STOCK
PODD, STOCK
CFG, STOCK
DISCA, STOCK
AVTR, STOCK
CMS, STOCK
IMO, STOCK
TRU, STOCK
DRI, STOCK
WAT, STOCK
AMCR, STOCK
LNG, STOCK
INCY, STOCK
BR, STOCK
EXPD, STOCK
WMG, STOCK
KB, STOCK
CAG, STOCK
PEAK, STOCK
TW, STOCK
TYL, STOCK
MDB, STOCK
SSNC, STOCK
HEI, STOCK
LB, STOCK
STE, STOCK
ULTA, STOCK
CAH, STOCK
CE, STOCK
SUI, STOCK
FUTU, STOCK
ALLY, STOCK
SNN, STOCK
HTHT, STOCK
MAA, STOCK
LI, STOCK
ALB, STOCK
LYV, STOCK
CINF, STOCK
NVR, STOCK
JBHT, STOCK
J, STOCK
UI, STOCK
CTXS, STOCK
RJF, STOCK
LSXMB, STOCK
GPC, STOCK
SUZ, STOCK
LSXMK, STOCK
ASX, STOCK
AFRM, STOCK
LSXMA, STOCK
XM, STOCK
OMC, STOCK
ROL, STOCK
ON, STOCK
AKAM, STOCK
MPWR, STOCK
PFG, STOCK
ZEN, STOCK
SHG, STOCK
DRE, STOCK
DGX, STOCK
IEX, STOCK
HAL, STOCK
NTAP, STOCK
PTC, STOCK
IT, STOCK
UAL, STOCK
BXP, STOCK
ATUS, STOCK
MKL, STOCK
FTCH, STOCK
BPY, STOCK
AVY, STOCK
WIX, STOCK
PBA, STOCK
TECH, STOCK
VICI, STOCK
AEM, STOCK
CRL, STOCK
MAS, STOCK
CHKP, STOCK
PPD, STOCK
AGR, STOCK
WPP, STOCK
TDY, STOCK
NMR, STOCK
NWSA, STOCK
ALNY, STOCK
ACGL, STOCK
BIP, STOCK
VTRS, STOCK
PLUG, STOCK
HBAN, STOCK
DISCK, STOCK
LBTYB, STOCK
NVAX, STOCK
WAB, STOCK
EMN, STOCK
CLVT, STOCK
RLX, STOCK
ABMD, STOCK
POOL, STOCK
FICO, STOCK
SAM, STOCK
GH, STOCK
DPZ, STOCK
CPB, STOCK
ENTG, STOCK
CVE, STOCK
GDRX, STOCK
NUAN, STOCK
CGNX, STOCK
GDS, STOCK
JHX, STOCK
LBTYA, STOCK
TTM, STOCK
NWS, STOCK
PKI, STOCK
LBTYK, STOCK
BEN, STOCK
XPO, STOCK
FMC, STOCK
SBSW, STOCK
MOH, STOCK
NICE, STOCK
ARGX, STOCK
EVRG, STOCK
PAGS, STOCK
ELAN, STOCK
WHR, STOCK
WYNN, STOCK
CCK, STOCK
BMRN, STOCK
SJM, STOCK
PENN, STOCK
L, STOCK
XRAY, STOCK
GDDY, STOCK
DT, STOCK
LDOS, STOCK
EQH, STOCK
WRB, STOCK
LNT, STOCK
DVN, STOCK
OSH, STOCK
WRK, STOCK
LUMN, STOCK
FBHS, STOCK
BRO, STOCK
CG, STOCK
PHM, STOCK
BSY, STOCK
MHK, STOCK
SQM, STOCK
SJR, STOCK
HWM, STOCK
IEP, STOCK
KEP, STOCK
RH, STOCK
SBNY, STOCK
UDR, STOCK
CDAY, STOCK
FANG, STOCK
MASI, STOCK
PKG, STOCK
AAL, STOCK
LKQ, STOCK
HAS, STOCK
TXT, STOCK
CNP, STOCK
PWR, STOCK
OTEX, STOCK
ATO, STOCK
VIV, STOCK
SEDG, STOCK
CHGG, STOCK
MPW, STOCK
AAP, STOCK
WPC, STOCK
GGG, STOCK
CHRW, STOCK
FNF, STOCK
FFIV, STOCK
SNA, STOCK
WSM, STOCK
IHG, STOCK
SMG, STOCK
NLOK, STOCK
OZON, STOCK
TS, STOCK
QS, STOCK
CNA, STOCK
MTN, STOCK
MOS, STOCK
JKHY, STOCK
LII, STOCK
ELS, STOCK
UHS, STOCK
CREE, STOCK
BILL, STOCK
BCH, STOCK
TPR, STOCK
AGL, STOCK
TTC, STOCK
GRFS, STOCK
DVA, STOCK
NLY, STOCK
GPS, STOCK
WLK, STOCK
RPM, STOCK
HST, STOCK
GL, STOCK
BSAC, STOCK
NTCO, STOCK
FDS, STOCK
NDSN, STOCK
IVZ, STOCK
LNC, STOCK
APO, STOCK
ALLE, STOCK
IPG, STOCK
IQ, STOCK
AVLR, STOCK
IPGP, STOCK
BWA, STOCK
ENIA, STOCK
UWMC, STOCK
RGEN, STOCK
ERIE, STOCK
TREX, STOCK
ZLAB, STOCK
LW, STOCK
QGEN, STOCK
SID, STOCK
CPT, STOCK
UHAL, STOCK
WTRG, STOCK
CBOE, STOCK
FND, STOCK
BG, STOCK
LEVI, STOCK
IRM, STOCK
DAR, STOCK
TECK, STOCK
BAH, STOCK
TAP, STOCK
FIVN, STOCK
BKI, STOCK
ZNGA, STOCK
NWL, STOCK
LPLA, STOCK
TPL, STOCK
ATHM, STOCK
RDY, STOCK
AMH, STOCK
TEVA, STOCK
PLTK, STOCK
WB, STOCK
AGCO, STOCK
